Months,From,To,HighTemp,LowTemp,Off-Peak,Mid-Peak,On-Peak
Jan,1/1/2020,2/1/2020,2,-5,381.42,101.63,145.84
Feb,2/1/2020,3/1/2020,1,-7,385.09,70.93,119.29
Mar,3/1/2020,4/1/2020,7,-1,354.21,55.32,62.27
Apr,4/1/2020,5/1/2020,11,1,580.32,0,0
May,5/1/2020,6/1/2020,17,7,536.61,0,0
Jun,6/1/2020,7/1/2020,27,14,507.84,0,0
Jul,7/1/2020,8/1/2020,30,20,591.3,0,0
Aug,8/1/2020,9/1/2020,27,17,652.41,0,0
Sep,9/1/2020,10/1/2020,22,12,579.3,0,0
Oct,10/1/2020,11/1/2020,14,5,588.95,0,0
Nov,11/1/2020,12/1/2020,11,2,378.96,116.48,160.03
Dec,12/1/2020,1/1/2021,3,-3,703.02,247.31,221.05
